Código Jurisdicción,Descripción Jurisdicción,Código Subjurisdicción,Descripción Subjurisdicción,Código Entidad,Descripción Entidad,Código Programa,Descripción Programa,Código Subprograma,Descripción Subprograma,Código Inciso,Descripción Inciso,Código Principal,Descripción Principal,Crédito 2019
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",1,"Gastos en Personal",1,"Personal Permanente", 5.804.249.511,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",1,"Gastos en Personal",2,"Personal Temporario", 2.226.168.510,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",1,"Gastos en Personal",5,"Asistencia Social al Personal", 84.937.644,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",1,"Gastos en Personal",6,"Beneficios y Compensaciones", 491.021.911,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",1,"Productos Alimenticios, Agropecuarios y Forestales", 25.046.784,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",2,"Textiles y Vestuario", 1.048.768,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",3,"Productos de Papel, Cartón e Impresos", 8.558.360,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",4,"Productos de Cuero y Caucho", 327.362,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",5,"Productos Químicos, Combustibles y Lubricantes", 7.950.828,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",6,"Productos de Minerales No Metálicos", 176.984,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",7,"Productos Metálicos", 3.463.588,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",8,"Minerales", 36.779,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",2,"Bienes de Consumo",9,"Otros Bienes de Consumo", 14.268.547,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",1,"Servicios Básicos", 24.973.835,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",2,"Alquileres y Derechos", 12.195.595,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",3,"Mantenimiento, Reparación y Limpieza", 105.989.313,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",4,"Servicios Técnicos y Profesionales", 150.047.601,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",5,"Servicios Comerciales y Financieros", 24.084.380,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",7,"Pasajes y Viáticos", 204.380.245,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",8,"Impuestos, Derechos, Tasas y Juicios", 6.331.643,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",3,"Servicios No Personales",9,"Otros Servicios", 25.776.586,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",4,"Bienes de Uso",2,"Construcciones", 88.964.732,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",4,"Bienes de Uso",3,"Maquinaria y Equipo", 9.154.135,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",4,"Bienes de Uso",5,"Libros, Revistas y Otros Elementos Coleccionables", 120.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",4,"Bienes de Uso",8,"Activos Intangibles", 6.261.133,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",5,"Transferencias",1,"Transf. al Sector Privado para Financiar Gastos Corrientes", 24.539.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",5,"Transferencias",5,"Transferencias a Otras Entidades del Sector Público Nacional", 1.250.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa",5,"Transferencias",9,"Transferencias al Exterior", 3.460.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",1,"Gastos en Personal",1,"Personal Permanente", 1.498.187.992,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",1,"Gastos en Personal",2,"Personal Temporario", 121.246.775,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",1,"Gastos en Personal",5,"Asistencia Social al Personal", 5.254.217,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",1,"Gastos en Personal",6,"Beneficios y Compensaciones", 174.000.016,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",2,"Bienes de Consumo",3,"Productos de Papel, Cartón e Impresos", 2.340.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",2,"Bienes de Consumo",5,"Productos Químicos, Combustibles y Lubricantes", 715.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",2,"Bienes de Consumo",9,"Otros Bienes de Consumo", 2.354.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",1,"Servicios Básicos", 5.220.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",2,"Alquileres y Derechos", 3.130.595,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",3,"Mantenimiento, Reparación y Limpieza", 8.746.890,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",4,"Servicios Técnicos y Profesionales", 58.295.515,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",5,"Servicios Comerciales y Financieros", 5.490.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",8,"Impuestos, Derechos, Tasas y Juicios", 1.150.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",3,"Servicios No Personales",9,"Otros Servicios", 6.000.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",4,"Bienes de Uso",3,"Maquinaria y Equipo", 5.791.837,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",18,"Asistencia Bibliográfica",0,"Asistencia Bibliográfica",4,"Bienes de Uso",5,"Libros, Revistas y Otros Elementos Coleccionables", 2.441.519,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",1,"Gastos en Personal",1,"Personal Permanente", 466.297.747,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",1,"Gastos en Personal",5,"Asistencia Social al Personal", 1.977.406,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",1,"Gastos en Personal",6,"Beneficios y Compensaciones", 35.206.022,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",2,"Bienes de Consumo",3,"Productos de Papel, Cartón e Impresos", 3.449.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",2,"Bienes de Consumo",5,"Productos Químicos, Combustibles y Lubricantes", 271.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",3,"Servicios No Personales",1,"Servicios Básicos", 2.957.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",3,"Servicios No Personales",2,"Alquileres y Derechos", 1.327.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",3,"Servicios No Personales",9,"Otros Servicios", 3.000.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias",4,"Bienes de Uso",3,"Maquinaria y Equipo", 8.624.999,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",1,"Gastos en Personal",1,"Personal Permanente", 730.504.287,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",1,"Gastos en Personal",2,"Personal Temporario", 95.336.713,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",1,"Gastos en Personal",5,"Asistencia Social al Personal", 6.000.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",1,"Gastos en Personal",6,"Beneficios y Compensaciones", 100.000.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",3,"Servicios No Personales",4,"Servicios Técnicos y Profesionales", 268.449.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",3,"Servicios No Personales",8,"Impuestos, Derechos, Tasas y Juicios", 2.000.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",20,"Asistencia Social Integral al Personal del Congreso de la Nación",0,"Asistencia Social Integral al Personal del Congreso de la Nación",4,"Bienes de Uso",3,"Maquinaria y Equipo", 20.015.466,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",1,"Gastos en Personal",1,"Personal Permanente", 586.717.463,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",1,"Gastos en Personal",2,"Personal Temporario", 18.098.537,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",1,"Productos Alimenticios, Agropecuarios y Forestales", 100.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",2,"Textiles y Vestuario", 5.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",3,"Productos de Papel, Cartón e Impresos", 471.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",4,"Productos de Cuero y Caucho", 25.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",5,"Productos Químicos, Combustibles y Lubricantes", 115.500,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",6,"Productos de Minerales No Metálicos", 2.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",7,"Productos Metálicos", 11.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",2,"Bienes de Consumo",9,"Otros Bienes de Consumo", 774.500,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",1,"Servicios Básicos", 5.836.088,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",2,"Alquileres y Derechos", 6.420.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",3,"Mantenimiento, Reparación y Limpieza", 3.630.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",4,"Servicios Técnicos y Profesionales", 1.323.800,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",5,"Servicios Comerciales y Financieros", 2.296.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",6,"Publicidad y Propaganda", 120.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",7,"Pasajes y Viáticos", 2.400.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",8,"Impuestos, Derechos, Tasas y Juicios", 835.000,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",3,"Servicios No Personales",9,"Otros Servicios", 2.120.112,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",4,"Bienes de Uso",3,"Maquinaria y Equipo", 511.559,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",4,"Bienes de Uso",5,"Libros, Revistas y Otros Elementos Coleccionables", 117.871,0 
1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos",4,"Bienes de Uso",8,"Activos Intangibles", 4.950.570,0 
